time,field.model_name,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z,field.reference_frame
157190000000,human_drone,-0.7100000000000009,-0.4900000000000008,0.0,0.0,0.0,0.9762960071199334,0.2164396139381029,0.0,0.0,0.0,0.0,0.0,0.0,
157402000000,human_drone,-0.7100000000000009,-0.5000000000000008,0.0,0.0,0.0,0.9762960071199334,0.2164396139381029,0.0,0.0,0.0,0.0,0.0,0.0,
157722000000,human_drone,-0.7100000000000009,-0.5100000000000008,0.0,0.0,0.0,0.9762960071199334,0.2164396139381029,0.0,0.0,0.0,0.0,0.0,0.0,
158066000000,human_drone,-0.7100000000000009,-0.5300000000000008,0.0,0.0,0.0,0.9762960071199334,0.2164396139381029,0.0,0.0,0.0,0.0,0.0,0.0,
158274000000,human_drone,-0.7100000000000009,-0.5400000000000008,0.0,0.0,0.0,0.9762960071199334,0.2164396139381029,0.0,0.0,0.0,0.0,0.0,0.0,
158578000000,human_drone,-0.7100000000000009,-0.5500000000000008,0.0,0.0,0.0,0.9762960071199334,0.2164396139381029,0.0,0.0,0.0,0.0,0.0,0.0,
158868000000,human_drone,-0.7100000000000009,-0.5600000000000008,0.0,0.0,0.0,0.9762960071199334,0.2164396139381029,0.0,0.0,0.0,0.0,0.0,0.0,
159308000000,human_drone,-0.7100000000000009,-0.5800000000000008,0.0,0.0,0.0,0.9762960071199334,0.2164396139381029,0.0,0.0,0.0,0.0,0.0,0.0,
159510000000,human_drone,-0.7100000000000009,-0.5900000000000009,0.0,0.0,0.0,0.9762960071199334,0.2164396139381029,0.0,0.0,0.0,0.0,0.0,0.0,
160526000000,human_drone,-0.7100000000000009,-0.6100000000000009,0.0,0.0,0.0,0.9762960071199334,0.2164396139381029,0.0,0.0,0.0,0.0,0.0,0.0,
162214000000,human_drone,-0.7100000000000009,-0.6100000000000009,0.0,0.0,0.0,0.9961946980917455,0.08715574274765814,0.0,0.0,0.0,0.0,0.0,0.0,
162988000000,human_drone,-0.7100000000000009,-0.6100000000000009,0.0,0.0,0.0,0.9990482215818578,0.04361938736533601,0.0,0.0,0.0,0.0,0.0,0.0,
163598000000,human_drone,-0.7100000000000009,-0.6100000000000009,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0,
164132000000,human_drone,-0.7100000000000009,-0.6100000000000009,0.0,0.0,0.0,0.9990482215818578,-0.04361938736533589,0.0,0.0,0.0,0.0,0.0,0.0,
165794000000,human_drone,-0.7000000000000008,-0.6100000000000009,0.0,0.0,0.0,0.9961946980917455,-0.08715574274765824,0.0,0.0,0.0,0.0,0.0,0.0,
166028000000,human_drone,-0.6900000000000008,-0.6100000000000009,0.0,0.0,0.0,0.9961946980917455,-0.08715574274765824,0.0,0.0,0.0,0.0,0.0,0.0,
